Species	Sample ID	Island	Island Size (km2)	Island Size (log)	# ROH	Length ROH	obs_het	het_sd	NR TEs	NR Homozygous TEs	MSMC Recent Pop Size	MSMC Harmonic Mean Pop Size
Zosterops kulambangrae	CEF484	Kohingo	2600	7.86	271	11375000	0.004884594	0.003739528	458	161	338.85176	454.66058
Zosterops kulambangrae	VGR592	Kolombangara	2600	7.86	130	4675000	0.005007319	0.003844228	462	149	412.79343	461.56255
Zosterops luteirostris	PRS2615	Gizo	40	3.69	1803	64950000	0.001091752	0.002641738	421	257	17.07531	57.5159
Zosterops metcalfi	32056	Choiseul	3300	8.10	38	1350000	0.006089074	0.004403472	507	159	850.60961	880.5145
Zosterops metcalfi	32096	Shortlands	280	5.63	461	17025000	0.005564975	0.004350148	543	184	209.03535	648.28137
Zosterops metcalfi	34483	Ngella	370	5.91	283	13000000	0.004448133	0.003630438	470	222	250.47744	265.63997
Zosterops metcalfi	34869	Isabel	4420	8.39	20	725000	0.00607569	0.004343919	512	170	984.08971	920.21222
Zosterops murphyi	CEF838	Kolombangara	110	4.70	156	4925000	0.003322928	0.004051666	691	228	266.03825	129.11197
Zosterops rendovae	33262	Rendova	380	5.94	136	5000000	0.002572485	0.002906114	415	195	193.49337	120.97235
Zosterops splendidus	CEF825b	Rannonga	140	4.94	310	9425000	0.00187075	0.003051397	510	223	103.27043	87.77565
Zosterops stresemanni	32763	Malaita	4300	8.37	66	2325000	0.004571413	0.00348991	387	184	589.34248	348.95383
Zosterops teteparius	CES726	Tetepare	120	4.79	453	14975000	0.002325308	0.003349571	531	215	74.35554	109.52957
Zosterops ugiensis	32795	Guadalcanal	5340	8.58	60	1900000	0.005240436	0.003856401	377	166	534.56799	426.94905
Zosterops ugiensis	35017	Makira	3200	8.07	138	4825000	0.003035547	0.003547975	425	229	272.28741	173.6066
Zosterops vellalavella	CEF819	Vella Lavella	650	6.48	105	3425000	0.002807442	0.003047174	431	215	287.95191	185.43298
